#,n,l,m,f.mean,f.sdev
#,u0: 37289.47137978341,type: wavelet,uMax: 37289.47137978341,nMax: 0,ellMax: 0
,90,2,0,-3.0509204811951784e-06,1.028826434472422e-06
,91,2,0,-9.151031546661975e-06,9.563616043682526e-07
,92,2,0,-5.379813656923684e-06,8.689064251295333e-07
,93,2,0,1.5839835537487504e-06,6.464694248476284e-07
,94,2,0,-7.714221693289721e-07,4.5339980546781106e-07
,95,2,0,-3.4588828150368435e-06,4.529412794514189e-07
,0,2,2,0.000264016964950664,5.695936945126547e-07
,1,2,2,0.0005753986492441673,1.6164055075643938e-06
,2,2,2,0.0002910227596758866,3.1823094012243173e-06
,3,2,2,4.0284734692529466e-05,2.3102489525538867e-07
,4,2,2,-0.00025986970688580936,2.7192422632455576e-06
,5,2,2,0.0004235638638773526,1.7072940569635336e-06
,6,2,2,3.0088311732566742e-05,3.054985104566805e-07
,7,2,2,1.6209446088158181e-06,9.072792942853292e-08
,8,2,2,0.0005077240227237053,2.23939278890151e-06
,9,2,2,-0.0015872356390316295,4.1801716432505235e-06
,10,2,2,0.0006670715289469994,2.7361258133509705e-06
,11,2,2,0.00011948775665398867,8.689276115756032e-07
,12,2,2,5.199649469356278e-06,3.7452001503325414e-07
,13,2,2,-2.0470407862563664e-05,1.6425456952528482e-07
,14,2,2,-8.089391174091638e-06,9.929971950013854e-08
,15,2,2,9.58278021984198e-06,6.919940888460395e-08
,16,2,2,-0.00014033269969567503,1.1775519739628201e-06
,17,2,2,0.0007343825623057319,2.5832821183287793e-06
,18,2,2,-0.00046900199720550744,4.915095083876652e-06
,19,2,2,-9.749142089050973e-05,4.829205866671983e-06
,20,2,2,0.0004038997653950521,3.4957076090690592e-06
,21,2,2,-1.738471983296047e-05,1.0807004526135149e-06
,22,2,2,1.8197919698110504e-05,9.774786439928792e-07
,23,2,2,4.543447006192332e-05,4.401373774084364e-07
,24,2,2,-3.176421105901896e-05,3.7835747968896376e-07
,25,2,2,2.6181153241151057e-05,3.03387930178616e-07
,26,2,2,-4.65748190057374e-06,1.424119433891145e-07
,27,2,2,-2.7846084705845383e-06,1.7013189745906338e-07
,28,2,2,6.245268329256216e-06,1.0312187939705523e-07
,29,2,2,-3.7636375940195297e-06,9.167681334680699e-08
,30,2,2,5.334781661711948e-06,7.905771860984253e-08
,31,2,2,-4.9095061265981075e-06,4.8540028181853625e-08
,32,2,2,-1.0419292440955066e-05,4.812251188682797e-07
,33,2,2,-0.0001099588516936285,3.058923204051436e-06
,34,2,2,0.0002901758823607519,2.277548305951313e-06
,35,2,2,0.00014249466541513188,3.421734055441431e-06
,36,2,2,-2.3480435895884802e-05,3.897440967775294e-06
,37,2,2,-0.0003496148387182471,5.515030636438389e-06
,38,2,2,-0.00018211533537971776,5.190161488919598e-06
,39,2,2,5.048728353440298e-05,5.789446203443163e-06
,40,2,2,0.0001293042379904821,4.096278996101824e-06
,41,2,2,0.00015116883868825884,2.4938865340695135e-06
,42,2,2,4.001579655659472e-05,1.3182704031429305e-06
,43,2,2,-3.3109610305233594e-05,9.716050508615198e-07
,44,2,2,-3.036401715818233e-06,1.2227312339628296e-06
,45,2,2,1.5152153764147106e-05,1.0636944702457246e-06
,46,2,2,2.089639901522379e-05,6.394505332557059e-07
,47,2,2,8.468575743304216e-06,3.862534122893308e-07
,48,2,2,-1.2499060477888532e-05,3.684840265117692e-07
,49,2,2,-6.213447290601011e-06,4.653773552805875e-07
,50,2,2,9.15944139519516e-06,4.0115590704715597e-07
,51,2,2,7.425499597725231e-06,2.525247014216397e-07
,52,2,2,-5.4818712466494075e-08,1.4820155345494347e-07
,53,2,2,-3.0551777344958255e-06,1.717056317542517e-07
,54,2,2,-4.043270134182891e-06,2.1887969134963157e-07
,55,2,2,3.2572622253957006e-06,1.9862069366357722e-07
,56,2,2,5.634188223308841e-06,1.2898790676245053e-07
,57,2,2,-1.4575313023687355e-06,8.93973134123972e-08
,58,2,2,-2.4532445530829464e-06,8.111999754868265e-08
,59,2,2,-4.956263427798836e-07,1.2727645669848213e-07
,60,2,2,4.2728105774120753e-07,1.1661527364655456e-07
,61,2,2,3.4318526809828424e-06,6.762921709666346e-08
,62,2,2,2.7705401017678647e-07,5.311339170198032e-08
,63,2,2,-2.7666989942403995e-06,5.6244523955987095e-08
,64,2,2,-3.28289117334549e-07,9.17633607346017e-08
,65,2,2,-1.1093082025354567e-05,1.393414318196805e-06
,66,2,2,-4.058615541198815e-05,3.302495040753733e-06
,67,2,2,-2.946880253599558e-05,2.7953053193257414e-06
,68,2,2,6.701034296737366e-05,2.7186013879104534e-06
,69,2,2,0.0001335756131987163,2.0280093580551395e-06
,70,2,2,8.586759020201582e-05,2.2115754512923692e-06
,71,2,2,1.2946915663224667e-05,3.0091574598927213e-06
,72,2,2,-3.848279562959677e-06,4.240662600037226e-06
,73,2,2,-1.3175246590639274e-05,4.740408658215871e-06
,74,2,2,-8.881363101645136e-05,4.2959370819023645e-06
,75,2,2,-0.0001511284627365724,5.252022217091877e-06
,76,2,2,-0.00010510313136007915,4.681064867900588e-06
,77,2,2,-3.481203512010556e-05,5.559705983767567e-06
,78,2,2,1.1921190411209122e-05,6.583069557684405e-06
,79,2,2,2.3070843477101405e-05,6.760571752942205e-06
,80,2,2,3.4370250224315536e-05,5.455017877047595e-06
,81,2,2,4.964046276048395e-05,4.3054439277792e-06
,82,2,2,6.099095840826304e-05,3.0562454794818076e-06
,83,2,2,4.717101223743162e-05,1.8495031114988103e-06
,84,2,2,2.7046909235724375e-05,1.5125102331979462e-06
,85,2,2,1.9812901774677945e-06,1.273291245220762e-06
,86,2,2,-1.0723008184816891e-05,9.782262033443406e-07
,87,2,2,-9.515770070264347e-06,9.026765797720047e-07
,88,2,2,-1.4482785652248934e-06,1.0464467668026665e-06
,89,2,2,1.4722193627194924e-07,1.1040751016680745e-06
,90,2,2,5.2752388572708216e-06,1.0196090432400487e-06
,91,2,2,5.071628527521614e-06,8.821080788666106e-07
,92,2,2,5.219415841204463e-06,7.021856506447841e-07
,93,2,2,7.259512231071371e-06,4.927071922748654e-07
,94,2,2,5.996462401743612e-06,4.337357948586556e-07
,95,2,2,9.78212405903864e-07,3.3248653655225496e-07
,0,4,0,0.00017984757918475358,6.038375018185968e-07
,1,4,0,0.000199724245741607,1.7538334756410418e-06
,2,4,0,0.00040935701738833855,4.131285416731557e-06
,3,4,0,6.130302387880706e-05,2.258576789344255e-07
,4,4,0,0.0018328979677921027,4.1488499360164755e-06
,5,4,0,-0.00011418033003222225,1.6469727412785874e-06
,6,4,0,3.910902665972981e-05,3.1225768217345586e-07
,7,4,0,1.0964687260996368e-05,1.1799037324594346e-07
,8,4,0,-0.0012703032368232502,2.8491304909032724e-06
,9,4,0,-2.053613877486433e-05,5.8720447616705756e-06
,10,4,0,-0.00011470289421850526,2.405410256443587e-06
,11,4,0,5.943680165057123e-05,8.242161359710812e-07
,12,4,0,1.3602232880279842e-05,3.8967960181008983e-07
,13,4,0,-4.321900560374819e-06,2.23946660083287e-07
,14,4,0,1.3199332697395709e-06,1.3721927648321387e-07
,15,4,0,5.800020849240539e-06,9.777502532252963e-08
,16,4,0,0.00016669834126791365,2.1583953982443537e-06
,17,4,0,-0.0016642208961122186,4.208687216525785e-06
,18,4,0,0.0010967325208123251,6.480312181823829e-06
,19,4,0,6.429467620374867e-05,5.05128518551483e-06
,20,4,0,-1.6994272321718554e-05,3.2338459454180353e-06
,21,4,0,-1.0832116273033174e-06,1.2908516915065016e-06
,22,4,0,2.2989961143777766e-05,9.346396764331674e-07
,23,4,0,2.6193373843160223e-05,5.597389736141815e-07
,24,4,0,3.895826779033551e-06,4.2321373054721104e-07
,25,4,0,2.027783913177694e-05,3.3766926283987404e-07
,26,4,0,1.9912653113652355e-06,2.1650350713938504e-07
,27,4,0,9.026698486582716e-06,2.2805094254605404e-07
,28,4,0,8.01898574634682e-06,1.4730152105275256e-07
,29,4,0,-1.176240080902697e-06,1.2980211040375209e-07
,30,4,0,7.80076537805095e-06,1.1284815061457381e-07
,31,4,0,2.5436847611928795e-06,7.749121190454246e-08
,32,4,0,1.139531212165827e-05,9.441397117365254e-07
,33,4,0,0.00013669391547110047,5.48059439185597e-06
,34,4,0,-0.0006212699419120358,2.790827621661928e-06
,35,4,0,-0.00017813180321547503,7.025580338476669e-06
,36,4,0,0.001050529228670331,7.465281834999967e-06
,37,4,0,-0.00025414811199518384,7.057631850795528e-06
,38,4,0,7.12082146067635e-06,5.824192023087639e-06
,39,4,0,-4.24289091206082e-05,5.17168475085996e-06
,40,4,0,2.0871382988453177e-05,4.387997376078536e-06
,41,4,0,-5.1782301667563013e-05,2.1187330457835936e-06
,42,4,0,1.3397395513509987e-05,1.765865821577425e-06
,43,4,0,-2.8580073202436294e-05,1.0461811943696988e-06
,44,4,0,6.783983388752962e-06,1.2879951783667215e-06
,45,4,0,1.1534040129094114e-06,8.535508078211646e-07
,46,4,0,1.757456605653418e-05,7.391654619301914e-07
,47,4,0,-5.619429591226758e-06,4.335828207364286e-07
,48,4,0,3.4532534562355516e-06,4.583697161557677e-07
,49,4,0,-5.923042023245371e-06,4.572606884425746e-07
